age= 0 month,,
D_WeekNo,RSV Negative,RSV Positive
201740,7,
201741,7,1
201742,8,2
201743,11,6
201744,15,9
201745,16,5
201746,13,16
201747,11,13
201748,13,16
201749,20,17
,,
age =5 months,,
D_WeekNo,N,P
200948,5,2
200949,5,4
200950,4,5
200951,2,5
200952,,6
200953,6,6
201001,8,7
201002,14,6
201003,19,5
201004,12,3
201005,13,
201006,12,8
201007,12,1
201008,16,1
201009,20,
201010,12,
201011,13,
201012,17,
201013,13,
201014,9,2
201015,13,1
201016,16,2
201017,8,1
201018,9,
201019,19,
201020,20,
201021,12,
201022,7,
201023,5,
201024,7,
201025,6,
201026,9,
201027,4,
201028,4,
201029,5,
201030,4,
201031,6,
201032,9,
201033,5,
201034,10,
201035,8,
201036,12,
201037,12,
201038,4,
201039,10,
201040,15,3
201041,13,
201042,9,1
201043,12,1
201044,11,6
201045,10,5
201046,12,12
201047,12,15
201048,20,14
201049,20,10
201050,13,14
201051,29,13
201052,35,17
201101,14,21
201102,22,15
201103,18,11
201104,21,12
201105,26,10
201106,23,4
201107,16,5
201108,22,4
201109,18,3
201110,16,1
201111,26,5
201112,17,2
201113,24,1
201114,14,
201115,14,1
201116,17,1
201117,7,2
201118,11,
201119,12,
201120,12,
201121,17,
201122,19,
201123,14,
201124,8,
201125,7,
201126,5,
201127,9,
201128,12,1
201129,13,1
201130,10,
201131,7,
201132,9,1
201133,8,
201134,10,
201135,12,
201136,7,1
201137,6,
201138,4,1
201139,2,
201140,,1
201141,2,
201142,12,1
201143,13,2
201144,9,2
201145,11,3
201146,9,5
201147,11,9
201148,10,14
201149,14,10
201150,5,16
201151,9,10
201152,13,17
201201,10,17
201202,7,8
201203,13,9
201204,7,4
201205,15,8
201206,12,1
201207,11,4
201208,15,5
201209,8,2
201210,8,2
201211,9,3
201212,22,
201213,9,
201214,11,
201215,18,
201216,11,1
201217,15,1
201218,9,1
201219,12,
201220,7,
201221,10,
201222,7,
201223,9,
201224,15,
201225,,1
201226,6,
201227,13,
201228,7,
201229,9,
201230,7,
201231,8,
201232,3,
201233,4,
201234,9,
201236,7,1
201237,8,
201238,6,
201239,11,2
201240,12,1
201241,6,3
201242,7,
201243,11,4
201244,14,8
201245,11,11
201246,8,6
201247,8,14
201248,16,11
201249,14,20
201250,13,15
201251,9,10
201252,29,13
201301,9,7
201302,13,8
201303,8,8
201304,5,1
201305,13,2
201306,7,1
201307,10,
201308,18,4
201309,10,1
201310,12,
201311,16,2
201312,19,
201313,16,1
201314,18,1
201315,12,1
201316,10,1
201317,12,
201318,5,1
201319,20,
201320,12,
201321,14,1
201322,11,2
201323,7,
201324,5,
201325,9,
201326,12,
201327,8,
201328,7,
201329,6,
201330,5,
201331,4,
201332,7,
201333,5,1
201334,7,
201335,8,
201336,5,
201337,6,
201338,8,
201339,11,
201340,9,1
201341,8,
201342,5,2
201343,7,2
201344,9,6
201345,6,3
201346,11,8
201347,15,13
201348,14,16
201349,13,14
201350,8,10
201351,10,14
201352,13,20
201401,9,14
201402,13,9
201403,12,2
201404,10,4
201405,11,1
201406,7,1
201407,11,
201408,13,2
201409,7,1
201410,12,
201411,8,1
201412,11,1
201413,8,
201414,9,
201415,15,
201416,10,
201417,13,
201418,8,
201419,7,
201420,7,
201421,11,2
201422,6,1
201423,9,
201424,6,1
201425,3,
201426,8,
201427,8,
201428,5,
201429,4,
201430,12,
201431,4,
201432,3,
201433,4,
201434,6,
201435,6,2
201436,11,
201437,6,
201438,2,
201439,14,
201440,3,
201441,9,
201442,9,
201443,10,2
201444,9,1
201445,8,3
201446,7,5
201447,10,5
201448,20,7
201449,8,5
201450,15,14
201451,13,12
201452,7,13
201501,16,7
201502,14,7
201503,14,5
201504,14,3
201505,7,
201506,17,
201507,15,
201508,12,
201509,16,2
201510,16,2
201511,11,
201512,12,
201513,16,
201514,11,1
201515,11,
201516,10,
201517,11,2
201518,14,
201519,8,
201520,11,
201521,11,
201522,10,
201523,12,
201524,14,
201525,11,
201526,3,
201527,10,
201528,6,
201529,5,1
201530,6,
201531,6,
201532,10,
201533,2,
201534,4,
201535,8,1
201536,5,
201537,6,
201538,12,1
201539,11,
201540,7,1
201541,14,
201542,11,4
201543,10,
201544,16,7
201545,11,5
201546,11,9
201547,9,10
201548,11,16
201549,13,22
201550,11,11
201551,14,7
201552,14,8
201553,12,12
201601,11,10
201602,12,3
201603,11,3
201604,15,2
201605,16,1
201606,15,1
201607,13,
201608,13,
201609,16,1
201610,17,
201611,22,
201612,14,1
201613,13,
201614,14,1
201615,13,1
201616,11,
201617,14,
201618,13,
201619,9,
201620,12,
201621,12,
201622,14,1
201623,14,
201624,17,
201625,8,
201626,10,1
201627,15,1
201628,15,
201629,9,2
201630,8,
201631,11,
201632,10,
201633,5,
201634,7,1
201635,6,
201636,9,1
201637,5,1
201638,8,
201639,14,2
201640,8,2
201641,7,3
201642,17,2
201643,10,5
201644,9,2
201645,8,8
201646,13,16
201647,7,8
201648,9,12
201649,12,13
201650,10,15
201651,16,9
201652,12,19
201701,15,5
201702,10,3
201703,7,3
201704,11,1
201705,9,
201706,17,
201707,16,2
201708,11,1
201709,15,1
201710,14,
201711,5,1
201712,8,1
201713,7,
201714,11,
201715,9,
201716,8,
201717,5,
201718,14,
201719,7,
201720,9,2
201721,7,1
201722,8,
201723,10,
201724,8,
201725,6,
201726,7,1
201727,10,
201728,4,
201729,11,
201730,9,
201731,8,
201732,5,
201733,10,
201734,9,1
201735,4,1
201736,7,
201737,8,1
201738,12,
201739,11,
201740,6,3
201741,17,
201742,10,2
201743,12,3
201744,7,3
201745,11,10
201746,13,15
201747,11,11
201748,11,19
201749,12,5
,,
age=6 months,,
D_WeekNo,N,P
200948,3,1
200949,3,2
200950,3,9
200951,3,3
200952,2,4
200953,3,3
201001,5,1
201002,4,4
201003,5,4
201004,16,4
201005,16,6
201006,9,1
201007,11,1
201008,21,
201009,10,
201010,14,1
201011,10,
201012,15,
201013,12,1
201014,5,
201015,12,
201016,11,
201017,16,
201018,4,1
201019,13,1
201020,12,1
201021,8,
201022,9,
201023,10,
201024,4,
201025,17,
201026,8,
201027,6,
201028,8,
201029,8,
201030,12,
201031,6,
201032,3,
201033,5,
201034,8,
201035,9,
201036,8,
201037,3,
201038,10,
201039,8,
201040,11,
201041,12,
201042,8,1
201043,8,2
201044,8,4
201045,7,5
201046,10,10
201047,13,12
201048,7,12
201049,12,8
201050,16,13
201051,20,23
201052,16,19
201101,33,13
201102,20,9
201103,23,4
201104,15,6
201105,16,8
201106,21,6
201107,14,3
201108,16,6
201109,9,3
201110,11,
201111,18,2
201112,26,1
201113,10,
201114,16,1
201115,12,2
201116,9,1
201117,10,
201118,8,
201119,7,
201120,13,
201121,9,
201122,13,
201123,8,1
201124,6,
201125,5,
201126,1,
201127,16,
201128,10,
201129,4,
201130,7,
201131,6,1
201132,8,
201133,3,
201134,14,
201135,4,1
201136,11,
201137,5,1
201138,6,
201139,2,1
201140,6,1
201141,3,1
201142,6,2
201143,15,1
201144,9,1
201145,12,4
201146,5,5
201147,7,8
201148,12,6
201149,5,6
201150,6,13
201151,5,16
201152,8,16
201201,9,14
201202,7,10
201203,9,3
201204,15,5
201205,16,5
201206,8,5
201207,6,5
201208,18,5
201209,10,6
201210,12,1
201211,12,
201212,11,
201213,5,2
201214,8,
201215,12,
201216,6,
201217,11,
201218,12,
201219,10,
201220,6,
201221,14,
201222,10,
201223,12,
201224,7,
201225,4,
201226,8,1
201227,8,
201228,7,
201229,11,
201230,6,
201231,8,
201232,6,
201233,3,1
201234,3,
201235,5,1
201236,3,
201237,8,2
201238,8,
201239,8,3
201240,17,
201241,8,2
201242,10,4
201243,13,5
201244,11,2
201245,10,16
201246,16,5
201247,12,11
201248,10,13
201249,13,13
201250,8,15
201251,15,8
201252,16,8
201301,12,7
201302,12,
201303,9,4
201304,8,
201305,10,2
201306,9,2
201307,25,
201308,10,
201309,18,2
201310,13,
201311,14,
201312,11,1
201313,12,
201314,13,1
201315,11,1
201316,6,
201317,7,2
201318,8,2
201319,9,
201320,14,
201321,10,
201322,9,
201323,12,
201324,4,
201325,12,
201326,7,
201327,6,
201328,5,
201329,5,
201330,5,
201331,4,
201332,7,
201333,2,
201334,3,
201335,4,
201336,5,
201337,3,1
201338,8,
201339,11,
201340,7,
201341,8,1
201342,7,
201343,12,1
201344,3,2
201345,8,5
201346,10,11
201347,12,6
201348,11,12
201349,7,18
201350,10,12
201351,4,17
201352,9,15
201401,9,4
201402,2,9
201403,3,3
201404,6,1
201405,8,1
201406,9,
201407,5,
201408,5,
201409,15,
201410,7,
201411,3,
201412,16,
201413,11,2
201414,10,
201415,9,1
201416,9,
201417,11,1
201418,6,
201419,8,
201420,8,
201421,7,
201422,8,
201423,10,
201424,6,
201425,7,
201426,5,
201427,6,
201428,10,
201429,8,
201430,7,
201431,4,
201432,8,
201433,5,
201434,5,
201435,3,
201436,6,
201437,6,
201438,12,
201439,8,
201440,13,
201441,7,
201442,5,
201443,9,5
201444,7,2
201445,6,2
201446,5,4
201447,11,10
201448,19,10
201449,9,8
201450,12,13
201451,12,17
201452,8,8
201501,11,9
201502,10,5
201503,5,2
201504,12,2
201505,10,2
201506,6,1
201507,6,
201508,10,1
201509,10,1
201510,13,
201511,13,1
201512,13,
201513,13,
201514,15,2
201515,14,
201516,15,1
201517,8,
201518,4,1
201519,8,2
201520,14,
201521,14,1
201522,6,
201523,7,
201524,8,
201525,7,
201526,15,
201527,4,
201528,6,
201529,3,
201530,10,
201531,7,
201532,5,
201533,5,
201534,4,
201535,2,
201536,3,
201537,9,
201538,8,
201539,8,
201540,11,1
201541,9,1
201542,9,2
201543,11,1
201544,6,7
201545,8,3
201546,12,14
201547,11,13
201548,14,13
201549,12,15
201550,12,12
201551,13,8
201552,14,10
201553,13,6
201601,7,3
201602,7,2
201603,15,1
201604,13,1
201605,14,1
201606,18,
201607,8,
201608,14,
201609,11,1
201610,10,
201611,12,1
201612,20,
201613,14,
201614,14,
201615,12,1
201616,7,
201617,14,
201618,10,
201619,8,
201620,5,
201621,10,
201622,11,
201623,11,
201624,8,1
201625,5,1
201626,11,
201627,7,1
201628,7,
201629,7,
201630,5,
201631,5,
201632,9,
201633,5,
201634,3,
201635,10,1
201636,6,1
201637,4,
201638,14,
201639,5,1
201640,6,2
201641,5,2
201642,11,5
201643,11,3
201644,6,8
201645,7,10
201646,11,12
201647,12,14
201648,9,8
201649,6,4
201650,5,8
201651,5,10
201652,9,10
201701,14,9
201702,5,2
201703,13,2
201704,6,2
201705,18,3
201706,16,
201707,13,
201708,17,
201709,11,1
201710,12,
201711,13,
201712,10,
201713,5,1
201714,14,1
201715,5,1
201716,4,
201717,4,1
201718,9,
201719,8,
201720,8,
201721,3,
201722,6,
201723,8,
201724,5,
201725,9,
201726,7,1
201727,7,
201728,6,
201729,4,
201730,5,
201731,9,
201732,5,1
201733,7,
201734,4,
201735,2,1
201736,6,
201737,10,
201738,9,
201739,6,1
201740,8,5
201741,8,1
201742,11,
201743,8,3
201744,8,5
201745,7,7
201746,6,15
201747,7,10
201748,7,13
201749,9,9
,,
age =7 months,,
D_WeekNo,N,P
200948,3,5
200949,8,6
200950,5,4
200951,4,2
200952,3,6
200953,4,1
201001,2,7
201002,5,4
201003,4,4
201004,5,4
201005,3,3
201006,7,3
201007,7,3
201008,14,2
201009,4,1
201010,8,
201011,12,
201012,12,2
201013,10,
201014,7,
201015,6,
201016,10,
201017,15,
201018,13,
201019,16,
201020,16,
201021,14,
201022,7,
201023,7,
201024,8,
201025,13,
201026,9,1
201027,6,
201028,13,
201029,9,
201030,8,
201031,4,
201032,3,
201033,2,
201034,5,1
201035,2,
201036,3,
201037,8,
201038,8,1
201039,5,
201040,13,
201041,10,2
201042,4,1
201043,12,3
201044,9,4
201045,8,4
201046,11,7
201047,11,5
201048,18,6
201049,16,11
201050,21,12
201051,24,11
201052,20,17
201101,16,14
201102,19,6
201103,17,10
201104,20,16
201105,13,8
201106,15,4
201107,21,2
201108,7,2
201109,22,2
201110,9,1
201111,11,
201112,13,
201113,9,1
201114,9,2
201115,16,1
201116,10,
201117,8,
201118,10,
201119,10,
201120,8,
201121,12,
201122,10,
201123,11,
201124,10,1
201125,12,
201126,13,
201127,16,
201128,7,
201129,10,
201130,5,
201131,5,
201132,7,
201133,6,
201134,7,
201135,8,
201136,8,
201137,5,
201138,2,
201139,5,
201140,1,1
201141,7,1
201142,8,
201143,8,1
201144,7,2
201145,9,2
201146,10,4
201147,10,5
201148,10,10
201149,9,14
201150,4,8
201151,6,12
201152,4,11
201201,6,4
201202,8,4
201203,3,3
201204,6,4
201205,10,8
201206,14,3
201207,19,3
201208,17,
201209,13,1
201210,11,1
201211,9,2
201212,8,1
201213,16,1
201214,10,
201215,14,2
201216,6,
201217,9,
201218,13,
201219,9,
201220,9,
201221,10,
201222,11,
201223,5,
201224,4,
201225,7,
201226,4,
201227,7,
201228,5,
201229,1,1
201230,6,
201231,5,
201232,7,
201233,4,
201234,1,
201235,4,
201236,3,
201237,6,
201238,10,1
201239,10,1
201240,12,2
201241,8,2
201242,8,2
201243,9,2
201244,10,8
201245,7,10
201246,12,11
201247,10,10
201248,22,16
201249,8,11
201250,8,5
201251,7,8
201252,12,6
201301,13,5
201302,11,2
201303,6,5
201304,10,2
201305,11,2
201306,10,3
201307,8,
201308,12,
201309,17,1
201310,9,
201311,12,
201312,11,
201313,13,1
201314,14,1
201315,7,
201316,13,
201317,7,
201318,11,
201319,7,
201320,9,
201321,10,1
201322,6,
201323,8,
201324,8,
201325,8,1
201326,12,
201327,9,
201328,9,
201329,13,
201330,9,
201331,4,
201332,9,
201333,4,
201334,5,
201335,4,
201336,6,
201337,4,
201338,13,
201339,8,
201340,11,1
201341,4,1
201342,12,3
201343,8,6
201344,8,3
201345,6,5
201346,9,6
201347,8,7
201348,4,9
201349,13,8
201350,6,12
201351,10,8
201352,10,7
201401,5,6
201402,3,4
201403,13,4
201404,13,
201405,11,
201406,5,1
201407,8,1
201408,5,
201409,7,1
201410,5,
201411,8,
201412,13,1
201413,11,
201414,8,
201415,7,
201416,7,
201417,4,
201418,9,
201419,9,
201420,9,
201421,8,
201422,8,
201423,9,
201424,6,
201425,6,
201426,6,
201427,5,
201428,5,
201429,3,
201430,8,2
201431,5,
201432,3,
201433,4,
201434,3,
201435,3,
201436,2,
201437,5,
201438,5,
201439,6,
201440,7,
201441,5,
201442,8,1
201443,8,4
201444,8,2
201445,4,7
201446,11,4
201447,9,7
201448,11,5
201449,8,6
201450,12,11
201451,8,8
201452,14,6
201501,10,5
201502,11,3
201503,13,4
201504,7,1
201505,10,
201506,10,
201507,8,
201508,13,3
201509,15,1
201510,7,
201511,8,
201512,11,1
201513,14,1
201514,13,1
201515,13,1
201516,7,
201517,13,
201518,14,
201519,8,1
201520,12,
201521,9,
201522,18,
201523,10,
201524,9,
201525,5,
201526,3,
201527,8,
201528,6,
201529,8,
201530,8,
201531,7,
201532,3,
201533,3,1
201534,7,
201535,3,
201536,2,
201537,9,
201538,10,
201539,10,2
201540,9,
201541,6,
201542,9,
201543,7,2
201544,9,1
201545,10,9
201546,11,12
201547,8,9
201548,13,10
201549,8,14
201550,12,13
201551,13,10
201552,12,6
201553,13,11
201601,11,7
201602,14,3
201603,8,4
201604,9,1
201605,14,
201606,11,1
201607,13,1
201608,11,
201609,8,
201610,11,
201611,13,1
201612,13,1
201613,12,
201614,12,1
201615,12,
201616,9,
201617,13,
201618,8,
201619,7,
201620,9,
201621,10,
201622,9,1
201623,11,
201624,13,
201625,7,
201626,12,
201627,10,1
201628,5,
201629,6,
201630,8,
201631,5,
201632,6,
201633,7,
201634,5,1
201635,6,1
201636,8,
201637,6,1
201638,15,1
201639,8,
201640,9,1
201641,12,1
201642,7,3
201643,7,6
201644,12,9
201645,14,2
201646,6,8
201647,8,13
201648,12,9
201649,7,11
201650,8,10
201651,9,6
201652,6,3
201701,4,4
201702,10,
201703,12,1
201704,12,
201705,7,
201706,7,
201707,7,
201708,14,2
201709,10,
201710,3,
201711,6,
201712,8,1
201713,7,
201714,14,
201715,10,
201716,8,
201717,8,
201718,11,
201719,7,
201720,7,
201721,7,1
201722,8,
201723,9,
201724,10,
201725,6,
201726,4,
201727,8,
201728,7,
201729,8,
201730,4,
201731,7,1
201732,1,1
201733,5,1
201734,4,
201735,3,
201736,4,
201737,8,
201738,10,1
201739,12,2
201740,7,2
201741,3,2
201742,8,4
201743,5,5
201744,5,3
201745,7,10
201746,5,4
201747,9,6
201748,15,8
201749,9,7
,,
age=8 months,,
D_WeekNo,N,P
200948,2,3
200949,,6
200950,4,7
200951,3,4
200952,3,3
200953,3,3
201001,7,4
201002,5,4
201003,11,2
201004,8,1
201005,6,1
201006,6,2
201007,6,2
201008,12,1
201009,9,
201010,14,1
201011,6,2
201012,8,
201013,12,1
201014,10,
201015,8,1
201016,16,
201017,4,1
201018,8,
201019,6,
201020,9,
201021,19,
201022,10,
201023,6,
201024,5,
201025,6,
201026,5,
201027,7,
201028,6,1
201029,7,
201030,6,
201031,8,
201032,4,
201033,8,
201034,1,
201035,5,
201036,9,
201037,6,
201038,3,
201039,10,
201040,8,1
201041,7,1
201042,3,
201043,11,3
201044,9,4
201045,9,5
201046,5,4
201047,10,4
201048,19,10
201049,12,8
201050,11,8
201051,15,15
201052,28,11
201101,22,12
201102,24,3
201103,19,3
201104,14,10
201105,19,11
201106,27,5
201107,11,3
201108,12,1
201109,13,6
201110,15,
201111,19,2
201112,13,1
201113,8,
201114,11,
201115,6,
201116,11,
201117,4,
201118,6,
201119,10,
201120,10,
201121,17,
201122,19,
201123,8,1
201124,9,
201125,12,
201126,13,1
201127,15,
201128,12,
201129,12,
201130,8,1
201131,14,
201132,13,
201133,3,
201134,5,
201135,5,
201136,4,
201137,6,
201138,1,1
201139,4,
201140,3,1
201141,6,
201142,5,3
201143,15,1
201144,8,2
201145,8,5
201146,10,4
201147,9,6
201148,9,11
201149,4,16
201150,9,7
201151,3,13
201152,7,7
201201,9,4
201202,6,5
201203,7,6
201204,3,1
201205,5,
201206,13,
201207,9,2
201208,15,
201209,14,
201210,7,2
201211,13,
201212,9,
201213,4,1
201214,8,
201215,10,
201216,9,
201217,5,
201218,8,
201219,10,
201220,5,
201221,10,1
201222,5,
201223,4,
201224,5,
201225,9,
201226,5,1
201227,9,1
201228,7,
201229,8,
201230,9,
201231,3,
201232,2,
201233,1,
201234,5,
201235,4,
201236,4,1
201237,10,1
201238,3,
201239,6,2
201240,6,
201241,10,1
201242,7,
201243,5,2
201244,3,7
201245,6,6
201246,9,4
201247,7,11
201248,11,14
201249,12,8
201250,13,6
201251,7,5
201252,6,5
201301,9,2
201302,8,6
201303,6,1
201304,8,1
201305,10,4
201306,9,2
201307,10,1
201308,9,2
201309,17,1
201310,6,
201311,7,1
201312,12,
201313,7,
201314,11,
201315,5,
201316,9,
201317,7,1
201318,10,
201319,6,
201320,11,1
201321,9,
201322,5,1
201323,10,
201324,7,
201325,8,
201326,4,
201327,2,
201328,3,
201329,3,
201330,8,
201331,1,
201332,5,1
201333,5,
201334,4,1
201335,5,
201336,3,
201337,4,
201338,10,
201339,10,1
201340,7,
201341,9,1
201342,10,3
201343,8,1
201344,13,1
201345,7,2
201346,9,3
201347,7,13
201348,7,11
201349,7,8
201350,13,10
201351,13,5
201352,6,8
201401,7,6
201402,9,1
201403,6,2
201404,9,3
201405,11,4
201406,6,3
201407,4,1
201408,2,1
201409,5,
201410,9,
201411,9,
201412,8,1
201413,11,1
201414,7,
201415,6,
201416,10,1
201417,6,
201418,6,
201419,4,
201420,10,
201421,5,
201422,6,
201423,8,
201424,11,
201425,9,
201426,5,1
201427,5,
201428,7,
201429,6,
201430,3,
201431,8,
201432,6,
201433,2,
201434,4,
201435,3,
201436,8,
201437,3,1
201438,13,
201439,6,
201440,9,1
201441,6,
201442,10,
201443,3,
201444,6,2
201445,7,3
201446,8,7
201447,13,1
201448,8,4
201449,8,7
201450,12,7
201451,7,3
201452,3,3
201501,6,7
201502,6,3
201503,7,3
201504,6,1
201505,5,1
201506,4,
201507,8,2
201508,6,2
201509,10,2
201510,9,1
201511,13,1
201512,8,
201513,7,1
201514,7,
201515,8,
201516,9,
201517,11,
201518,5,
201519,3,
201520,9,
201521,8,
201522,10,
201523,5,
201524,7,1
201525,6,
201526,6,
201527,9,1
201528,5,
201529,6,
201530,5,
201531,4,1
201532,5,
201533,6,
201534,3,
201535,2,
201536,7,
201537,5,
201538,5,
201539,2,1
201540,5,
201541,5,1
201542,8,1
201543,5,2
201544,5,1
201545,6,4
201546,8,5
201547,8,8
201548,14,5
201549,18,12
201550,8,7
201551,7,5
201552,7,4
201553,5,4
201601,5,3
201602,4,3
201603,9,1
201604,10,
201605,11,1
201606,3,2
201607,13,
201608,21,1
201609,16,
201610,11,
201611,12,1
201612,15,1
201613,9,1
201614,10,1
201615,11,
201616,8,
201617,14,
201618,10,
201619,13,
201620,8,
201621,10,
201622,10,1
201623,11,
201624,3,
201625,10,
201626,10,1
201627,7,
201628,5,
201629,5,
201630,9,
201631,4,
201632,3,
201633,8,
201634,7,
201635,4,2
201636,3,2
201637,9,
201638,13,
201639,15,1
201640,7,
201641,5,3
201642,8,2
201643,11,3
201644,5,8
201645,8,3
201646,7,8
201647,8,6
201648,7,14
201649,13,4
201650,7,6
201651,9,5
201652,8,6
201701,6,4
201702,12,1
201703,9,1
201704,12,
201705,9,
201706,12,1
201707,9,
201708,8,1
201709,15,1
201710,12,
201711,13,1
201712,6,
201713,6,
201714,19,
201715,6,
201716,3,
201717,9,1
201718,8,
201719,3,
201720,11,1
201721,7,
201722,4,1
201723,3,
201724,3,
201725,6,
201726,4,
201727,3,
201728,4,1
201729,7,
201730,7,
201731,3,1
201732,4,
201733,4,
201734,5,
201735,6,
201736,7,1
201737,5,1
201738,6,
201739,9,
201740,5,2
201741,8,3
201742,6,
201743,12,3
201744,10,6
201745,8,5
201746,9,7
201747,7,8
201748,5,4
201749,8,8
,,
age=9 months,,
D_WeekNo,N,P
200948,4,1
200949,6,3
200950,5,6
200951,2,5
200952,2,3
200953,7,1
201001,4,2
201002,4,3
201003,6,3
201004,8,3
201005,8,1
201006,5,
201007,10,2
201008,6,3
201009,7,
201010,5,
201011,7,
201012,5,
201013,8,
201014,6,
201015,7,
201016,5,
201017,5,
201018,9,
201019,5,
201020,6,
201021,6,
201022,9,
201023,12,
201024,9,
201025,8,
201026,2,
201027,3,
201028,1,1
201029,5,
201030,6,1
201031,3,
201032,4,1
201033,2,
201034,4,
201035,5,
201036,6,
201037,8,
201038,8,
201039,7,
201040,4,2
201041,7,
201042,7,
201043,5,1
201044,6,1
201045,15,7
201046,5,8
201047,12,2
201048,3,17
201049,14,11
201050,19,5
201051,27,20
201052,20,8
201101,27,9
201102,8,8
201103,10,3
201104,13,6
201105,14,7
201106,19,1
201107,15,5
201108,15,4
201109,17,1
201110,6,2
201111,7,
201112,9,
201113,14,1
201114,12,
201115,17,
201116,5,
201117,12,
201118,6,
201119,6,
201120,9,
201121,14,
201122,13,
201123,9,
201124,7,
201125,5,
201126,6,
201127,4,
201128,8,
201129,6,
201130,6,
201131,4,
201133,11,
201134,8,
201135,6,
201136,13,
201137,3,
201138,6,
201139,3,1
201140,4,1
201141,3,
201142,10,2
201143,9,2
201144,7,1
201145,5,2
201146,8,10
201147,10,6
201148,7,8
201149,6,9
201150,6,12
201151,6,8
201152,6,8
201201,7,11
201202,7,2
201203,9,4
201204,6,2
201205,6,2
201206,12,
201207,7,4
201208,12,1
201209,11,1
201210,15,1
201211,11,2
201212,8,3
201213,11,1
201214,3,
201215,13,
201216,9,
201217,9,1
201218,8,1
201219,11,
201220,15,
201221,6,
201222,6,1
201223,4,
201224,6,
201225,2,
201226,8,
201227,3,
201228,9,
201229,4,
201230,3,
201231,3,
201232,7,1
201233,4,
201234,2,
201235,5,
201236,3,
201237,6,
201238,6,
201239,5,2
201240,9,1
201241,9,2
201242,6,3
201243,6,
201244,5,6
201245,9,9
201246,6,9
201247,5,5
201248,11,11
201249,4,8
201250,5,11
201251,5,5
201252,9,6
201301,6,2
201302,4,2
201303,11,4
201304,7,
201305,13,
201306,11,2
201307,10,1
201308,13,1
201309,12,1
201310,10,3
201311,18,
201312,10,1
201313,9,
201314,10,1
201315,7,
201316,4,
201317,7,1
201318,7,
201319,7,
201320,5,
201321,3,
201322,7,
201323,12,
201324,7,
201325,7,
201326,3,1
201327,6,1
201328,4,
201329,4,
201330,5,
201331,10,
201332,2,
201333,4,
201334,4,
201335,5,
201337,6,
201338,9,
201339,8,
201340,9,
201341,7,2
201342,3,
201343,14,1
201344,11,1
201345,7,4
201346,9,5
201347,5,7
201348,8,4
201349,5,14
201350,4,9
201351,7,4
201352,4,9
201401,6,8
201402,6,3
201403,2,2
201404,3,4
201405,5,1
201406,5,1
201407,6,
201408,5,
201409,13,
201410,10,
201411,7,
201412,9,
201413,8,
201414,8,
201415,8,
201416,9,
201417,4,
201418,5,
201419,8,1
201420,5,
201421,6,2
201422,7,
201423,8,
201424,4,
201425,5,
201426,6,
201427,4,
201428,2,1
201429,4,
201430,3,
201431,8,1
201432,3,
201433,2,1
201434,2,
201435,1,
201436,5,
201437,8,1
201438,10,1
201439,4,
201440,2,
201441,8,1
201442,6,1
201443,5,1
201444,10,3
201445,4,7
201446,7,6
201447,9,6
201448,13,5
201449,8,5
201450,7,9
201451,7,7
201452,8,4
201501,5,2
201502,9,1
201503,6,3
201504,8,2
201505,6,4
201506,8,
201507,9,2
201508,9,1
201509,10,
201510,4,
201511,11,
201512,4,
201513,5,
201514,5,
201515,5,
201516,7,1
201517,4,
201518,7,
201519,4,
201520,11,
201521,5,
201522,3,
201523,10,
201524,1,
201525,6,
201526,4,
201527,4,
201528,2,
201529,7,
201530,1,1
201531,2,1
201532,6,
201533,6,
201534,2,
201535,6,
201536,2,
201537,6,
201538,8,
201539,10,
201540,7,1
201541,9,
201542,9,
201543,6,1
201544,13,2
201545,8,6
201546,8,3
201547,4,6
201548,6,4
201549,12,10
201550,10,9
201551,6,10
201552,10,4
201553,8,5
201601,15,
201602,10,2
201603,11,2
201604,13,
201605,12,3
201606,4,
201607,12,
201608,10,
201609,7,
201610,16,1
201611,6,
201612,13,
201613,17,
201614,11,
201615,8,
201616,10,
201617,7,
201618,11,
201619,9,
201620,6,
201621,3,
201622,9,
201623,4,
201624,6,
201625,9,
201626,4,1
201627,9,
201628,14,
201629,10,1
201630,2,1
201631,7,1
201632,6,
201633,4,
201634,2,
201635,3,
201636,8,2
201637,4,
201638,10,
201639,8,1
201640,8,1
201641,9,5
201642,5,6
201643,12,6
201644,11,3
201645,13,8
201646,6,10
201647,5,9
201648,7,4
201649,11,9
201650,9,9
201651,6,4
201652,6,3
201701,5,1
201702,10,
201703,9,1
201704,7,
201705,6,
201706,13,
201707,14,
201708,12,
201709,8,
201710,9,
201711,8,1
201712,14,
201713,4,
201714,17,
201715,5,
201716,9,1
201717,5,
201718,12,
201719,8,
201720,2,
201721,8,
201722,6,
201723,8,
201724,3,
201725,8,
201726,6,
201727,6,
201728,9,
201729,3,
201730,7,
201731,5,1
201732,3,1
201733,5,
201734,3,
201735,5,
201736,5,
201737,6,
201738,6,1
201739,5,
201740,3,2
201741,5,2
201742,4,1
201743,6,3
201744,6,5
201745,11,4
201746,6,10
201747,10,11
201748,16,9
201749,10,10
,,
age =10months,,
D_WeekNo,N,P
200948,2,1
200949,5,1
200950,7,2
200951,3,3
200952,2,2
200953,2,3
201001,6,1
201002,3,4
201003,7,
201004,8,3
201005,10,
201006,8,
201007,9,
201008,18,3
201009,8,1
201010,8,
201011,8,1
201012,5,
201013,17,
201014,5,1
201015,5,
201016,8,
201017,3,
